geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
11,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.35461120000036317,10,2
12,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.35613329999978305,11,2
13,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.5995287000005192,12,2
14,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.42708739999943646,13,2
15,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4308555999996315,14,2
16,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3178650000008929,15,2
17,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.44593189999977767,16,2
18,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.34355999999934284,17,2
19,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.33139760000085516,18,2
20,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3371963000008691,19,2
21,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.330877700000201,20,2
22,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3116591000016342,21,2
23,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28449449999970966,22,2
24,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3045992999996088,23,2
25,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.30589169999984733,24,2
26,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3319806999988941,25,2
27,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2885508999988815,26,2
28,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28544440000041504,27,2
29,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.29444619999958377,28,2
30,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28339710000000196,29,2
31,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.29255799999918963,30,2
32,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28690999999889755,31,2
33,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2863517000005231,32,2
